move,observations,time step
"[0.1,0.0]","[[1.1018638579864486, 1.9552533044386498], [1.1569695931327877, 1.0227560640797186], [1.4307085005147933, 3.133978415544121], [1.0717199330282026, -1.9648287764273065], [1.1654487290779887, -1.0107285739999976]]",0.2
"[0.1,0.0]","[[1.101402355208911, 2.02327222344344], [1.1366169256492944, 1.0723723817016795], [1.4435376071089425, 3.143078460406269], [1.0915360753848367, -2.0049054250037], [1.1413788460367824, -1.0550958563484165]]",0.2
"[0.1,0.0]","[[1.0864214432393904, 1.999375725723587], [1.1518005292449194, 1.0457571020014107], [1.4552190499030733, 3.1336444573844644], [1.0989830388590898, -2.042813167373314], [1.1275637243047354, -1.0736094618566743]]",0.2
"[0.1,0.0]","[[1.1214898907446174, 2.036373869534181], [1.1292475483009619, 1.0901063813878527], [1.4791682478954833, 3.1332261092437377], [1.1135978213932796, -2.0145373211105553], [1.1234511876481026, -1.0719613361360922]]",0.2
"[0.1,0.0]","[[1.1178315914241956, 2.042495947490099], [1.1205925632416311, 1.0959018122362294], [1.1214642269800967, -2.0368688759520204], [1.105272625516004, -1.1119925554631327]]",0.2
"[0.1,0.0]","[[1.122470827228822, 2.0645091756130713], [1.1187896829792625, 1.1481651295479625], [1.1330095101044668, -2.0655075443337685], [1.11662606033077, -1.1213761892372311]]",0.2
"[0.1,0.0]","[[1.137698789869464, 2.034112736252792], [1.0992003474306498, 1.1595132586176382], [1.1401186517464426, -2.0656181564832212], [1.1083780643717402, -1.1413553658644786]]",0.2
"[0.1,0.0]","[[1.1326990197096583, 2.088315511374124], [1.0893979464339814, 1.1644915679272438], [1.1527779045984656, -2.0907016597800676], [1.0979430587074768, -1.1245327840482682]]",0.2
"[0.1,0.0]","[[1.1540554895567408, 2.1148178834986404], [1.0706923520576437, 1.1756934508538368], [1.1559922596294687, -2.1342557971881866], [1.0735010222815682, -1.2125809152215163]]",0.2
"[0.1,0.0]","[[1.1703050674761515, 2.094342073619585], [1.0685774906288992, 1.1706329262786037], [1.1465292103136837, -2.1300403253014384], [1.0906338856533662, -1.183389446610586]]",0.2
"[0.1,0.0]","[[1.180882450239994, 2.1340603112890295], [1.0721449264884044, 1.213275065995266], [1.1704259897138074, -2.108352652589068], [1.0690228735026708, -1.217262142401421]]",0.2
"[0.1,0.0]","[[1.182525993666747, 2.128416204558847], [1.0489651965613458, 1.255597561174324], [1.205988081580264, -2.1428467860164244], [1.0542823141829638, -1.2087175197190931]]",0.2
