move,observations,time step
"[0.1,0.0]","[[1.1038841516614073, 2.0088651453337945], [1.125877099157261, 1.1110005741925357], [1.4668189006650953, 3.1447124673473716], [1.1092960494397435, -1.998582066068826], [1.116314327971376, -1.0889911585516538]]",0.2
"[0.1,0.0]","[[1.1315431881250315, 1.9936520678478493], [1.1117873761817176, 1.1103250200146015], [1.133702122888919, -2.044126878981888], [1.1169359088330204, -1.107781909077477]]",0.2
"[0.1,0.0]","[[1.1254037374505652, 2.032440459262796], [1.096992945302556, 1.1454290928024742], [1.1169437708510126, -2.058160837795661], [1.1224473555844576, -1.1166458275832616]]",0.2
"[0.1,0.0]","[[1.1558531666964749, 2.054851167921525], [1.105486180681577, 1.1404122996320594], [1.1368173020904564, -2.0644514978177857], [1.1181257909199043, -1.1458287489447325]]",0.2
"[0.1,0.0]","[[1.1427827802112032, 2.085369306203588], [1.074359839327488, 1.1322465446445453], [1.1399181038234474, -2.084374629198994], [1.0918383196767047, -1.1564903376868905]]",0.2
"[0.1,0.0]","[[1.1530925465810191, 2.091342064730499], [1.0787193843866418, 1.1791563979043447], [1.1602045558261334, -2.1066023469101607], [1.0874946886348145, -1.1554855847135863]]",0.2
"[0.1,0.0]","[[1.1684677105691914, 2.108949936736825], [1.0734846104343563, 1.200088505430689], [1.1622591524519228, -2.1165210482045844], [1.0953404128058848, -1.1866668084553575]]",0.2
"[0.1,0.0]","[[1.1693696144527002, 2.0722304356398693], [1.0808646066543581, 1.2416651771281744], [1.1742330843170123, -2.113003512271796], [1.0742217621727024, -1.2153728155696388]]",0.2
"[0.1,0.0]","[[1.1839732315048221, 2.1295733931695007], [1.0706972950209384, 1.2394964080941617], [1.184807098359065, -2.1338860700838884], [1.0609364604077731, -1.2368896665248559]]",0.2
"[0.1,0.0]","[[1.2007001352462379, 2.162974811688138], [1.0615841696352215, 1.2507213420770753], [1.2028346760954303, -2.1546022587794353], [1.0588691371321535, -1.2451199706104101]]",0.2
"[0.1,0.0]","[[1.1970187357995021, 2.1644657896504143], [1.0461394937669608, 1.2481080473539559], [1.201748338850792, -2.1545766292934134], [1.0505537603186772, -1.2636116159146522]]",0.2
"[0.1,0.0]","[[1.2206406157796108, 2.1915526715508005], [1.0417338994217962, 1.2863853996001224], [1.219944800054789, -2.1631708901055267], [1.0556712217673714, -1.2918264577664167]]",0.2
"[0.1,0.0]","[[1.2416356571723115, 2.190154734687872], [1.0319980885629798, 1.296410909364928], [1.2165847507931802, -2.211939200731501], [1.0195204149562682, -1.2936128582710245]]",0.2
"[0.1,0.0]","[[1.2545787982346825, 2.2453813665119027], [1.022685613793606, 1.3110247108145439], [1.2445116376811436, -2.2132419431370267], [1.0317073181180232, -1.3080843870238303]]",0.2
"[0.1,0.0]","[[1.2610150013990618, 2.228062692769625], [1.018093247574484, 1.329766123569039], [1.2763159689589745, -2.232275175511925], [1.0269155515727972, -1.3374396238651522]]",0.2
"[0.1,0.0]","[[1.2669095406387147, 2.2194915688135675], [1.0048030916593595, 1.3759231502067626], [1.285814102764384, -2.2526914179700603], [1.0244377432776073, -1.3850884057103308]]",0.2
"[0.1,0.0]","[[1.2858214191432933, 2.253366034746725], [1.0033932132814685, 1.3627281653656125], [1.278843484162996, -2.2403311510517567], [1.0242347419191002, -1.39354010325243]]",0.2
"[0.1,0.0]","[[1.2975921164160473, 2.248534153492402], [1.0214103938138035, 1.3746199352384987], [1.3068770559464349, -2.267294807420745], [1.0065209169290028, -1.3865883637169218]]",0.2
"[0.1,0.0]","[[1.293417138747516, 2.247957170383426], [1.0265211286289697, 1.432842905167067], [1.3104026615452429, -2.269991125206164], [0.9932436639155681, -1.4347130681612907]]",0.2
"[0.1,0.0]","[[1.3138868885580641, 2.3089702913326504], [0.9950850654854859, 1.4113585266880464], [1.3146197422119639, -2.303623948996411], [1.0087615884129482, -1.4024788606374257]]",0.2
"[0.1,0.0]","[[1.329789043237118, 2.3046663061265185], [0.9945321500602584, 1.450580759610034], [1.3298305054259074, -2.3110978677211684], [1.0147116209248968, -1.4097771238878816]]",0.2
"[0.1,0.0]","[[1.3499478165151586, 2.297999585792449], [0.9976347878038787, 1.4450856363305995], [1.4744387214309131, 0.685380114154306], [1.3388862666012133, -2.2983996229114547], [1.0000309129398361, -1.458971114426379], [1.492401137404285, -0.765042838523993]]",0.2
